,CandidateID,CandidateName,CandidateNameEng,Gender,Age,PartyID,SymbolID,SymbolName,SymbolNameEng,PoliticalPartyName,PoliticalPartyNameEng,TotalVoteReceived,Remarks,RemarksEng,PostId,Ward,id,GaPa_NaPa,districtId,districtIdy,district,stateId,state
0,306301,कमल बहादुर शाही,Kamal Bahadur Shahi,पुरुष,56,999,2318,हाँस,,स्वतन्त्र,Independent ,2919,निर्वाचित,Elected,3,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
1,173315,जसी  प्रसाद पाण्डे,Jashi Prasad Pandey,पुरुष,54,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),2609,,,3,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
2,192203,तारा कुमारी शाह,Tara Kumari Shah,महिला,50,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,1793,,,3,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
3,307922,हस्त बी‍ क‍,Hasta Bk,पुरुष,28,999,2316,पुतली,,स्वतन्त्र,Independent ,118,,,3,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
4,306934,धर्म दत्त आचार्य,Dharma Datta Acharya,पुरुष,67,4,2279,हलो,,राष्ट्रिय प्रजातन्त्र पार्टी,Rastriya Prajatantra Party,41,,,3,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
5,212580,गणेश बहादुर शाही,Ganesh Bahadur Shahi,पुरुष,50,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),2926,निर्वाचित,Elected,4,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
6,208051,मिना कुमारी शाही,Mina  Kumari  Shahi ,महिला,61,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),2399,,,4,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
7,192493,नेत्र बहादुर शाही,Netra Bahadur Shahi,पुरुष,38,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,1586,,,4,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
8,318494,शारदा  शाही ,Sarada  Shahi ,महिला,21,999,2316,पुतली,,स्वतन्त्र,Independent ,30,,,4,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
9,325246,देबी दमाई,Debi Damai,महिला,30,116,1020,कलम,,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी) ,Nepal Communist Party(Ekakrit Samajbadi),30,निर्वाचित,Elected,11,,5599,खाँडाचक्र नगरपालिका,60,60,कालिकोट,6.0,कर्णाली प्रदेश
