,CandidateID,CandidateName,CandidateNameEng,Gender,Age,PartyID,SymbolID,SymbolName,SymbolNameEng,PoliticalPartyName,PoliticalPartyNameEng,TotalVoteReceived,Remarks,RemarksEng,PostId,Ward,id,GaPa_NaPa,districtId,districtIdy,district,stateId,state
0,219026,श्रीकान्त प्रसाद यादव,Srikant Prasad Yadav,पुरुष,41,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,5749,निर्वाचित,Elected,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
1,182417,महमद सलिम मंसुर,Mahamad Salim Mansur,पुरुष,64,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),3926,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
2,169748,कृष्णमोहन प्रसाद यादव,Krishnamohan Prasad Yadav,पुरुष,55,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,3447,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
3,194374,महमद आफताब मियाँ धुनिया,Mahamad  Aaphatab Miya Dhuniya,पुरुष,39,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,225,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
4,168690,चन्दन चौहान,CHANDAN CHAUHAN,पुरुष,37,101,2289,लाउड स्पिकर,Loud Speaker,जनमत पार्टी (जपा),,118,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
5,205452,मालती उपाध्याय,Malati Upadhayay,महिला,77,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),71,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
6,241851,सोवालाल महतो कोइरी,Sobalal Mahato Koiri,पुरुष,33,999,315,मुढा,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
7,185818,महमद नुरहसन मिया,Mahmad Nurhasan Miya,पुरुष,32,999,1029,कैँची,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
8,241658,ईबराहीम अंसारी,EBRAHIM ANSARI,पुरुष,21,999,2048,ब्याडमिन्टन कर्क,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
9,241372,गोपीचन राउत कुर्मी,Gopichan Raut Kurmi,पुरुष,32,999,2283,भूईकटर,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
10,186096,अयुव अली अहमद,AYUB ALI AHAMAD,पुरुष,24,999,2316,पुतली,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
11,175658,चन्द्रशेखर प्रसाद यादव,Chandra Shekhar Prasad Yadav,पुरुष,40,999,2318,हाँस,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
12,230543,म.मुस्तुफा आलम,MD. KUSTUFA ALAM,पुरुष,33,999,2339,खानेपानीको धारा,,स्वतन्त्र,Independent ,0,,,1,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
13,228240,बबिता सिहं,BABITA SING,महिला,44,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,5531,निर्वाचित,Elected,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
14,194997,मिरा देवी कुर्मी,Mira Devi Kurmi,महिला,49,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),3345,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
15,169312,जलेखा खातुन,jalekhan khatun,महिला,53,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,3123,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
16,192740,महम्मद शरीफ गदी,Mohamad Sarif Gadi,पुरुष,34,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),454,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
17,202682,अनिता देवी,Anita Devi,महिला,53,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,355,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
18,169085,भागवत प्रसाद,Bhagwat Prasad,पुरुष,60,999,1040,आँप,,स्वतन्त्र,Independent ,184,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
19,184552,रविता  देवी ,Rabita  Devi ,महिला,44,999,2283,भूईकटर,,स्वतन्त्र,Independent ,4,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
20,214915,सफरोज गदी,Sapharoj Gadi,पुरुष,29,999,1039,गुलाफको फुल,,स्वतन्त्र,Independent ,0,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
21,223934,महमद अफरोज आलम,mahamat afroj alam,पुरुष,23,999,2048,ब्याडमिन्टन कर्क,,स्वतन्त्र,Independent ,0,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
22,175271,रामबाबु राउत,Rambabu Raut,पुरुष,53,999,2318,हाँस,,स्वतन्त्र,Independent ,0,,,2,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
23,330762,रीता देवी,Rita Devi,महिला,47,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,9,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
24,330760,तेतरी देवी विनिन,Tetari Devi Binin,महिला,66,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,9,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
25,330765,सीमा देवी,Sima Devi,महिला,30,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,9,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
26,330767,तेतरी देवी कुर्मी,Tetri Devi Kurmi,महिला,56,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,9,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
27,330758,एकवाल साह कानु,Akawal Shah Kanu,पुरुष,75,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,10,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
28,330770,मोज आलिम,Moj Alim,पुरुष,55,1,0,,,नेपाली काँग्रेस,Nepali Congress,0,निर्विरोध,Unopposed,10,,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
29,231600,लक्ष्मी साह तेली,Laxmi Sah Teli,पुरुष,73,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,718,निर्वाचित,Elected,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
30,170216,गोरा महतो थारु,Gora Mahato Tharu,पुरुष,72,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,416,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
31,182244,मगरु राउत गदी,Magaru Raut Gadi,पुरुष,77,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),415,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
32,202690,रामायण राउत गदी,Ramayan Raut Gadi,पुरुष,63,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,249,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
33,170024,शंकर सा तेली,Shankar Sa Teli,पुरुष,55,999,1040,आँप,,स्वतन्त्र,Independent ,183,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
34,199831,महम्मद सहरुम,Mahamad Saharum,पुरुष,47,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),162,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
35,170420,विन्ध्याचल साह तेली,BINDHYACHAL SAH TELI,पुरुष,32,101,2289,लाउड स्पिकर,Loud Speaker,जनमत पार्टी (जपा),,23,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
36,242587,अदेश कुमार साह तेली,ADESH KUMAR SAH TELI,पुरुष,25,999,2316,पुतली,,स्वतन्त्र,Independent ,0,,,5,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
37,239118,छठु राय भर,Chhuthu Ray Bhar,पुरुष,53,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,711,निर्वाचित,Elected,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
38,235963,नन्दु साह कलवार,Nandu Sah Kalwar,पुरुष,55,1,101,दुई रुख,,नेपाली काँग्रेस,Nepali Congress,656,निर्वाचित,Elected,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
39,169169,असलम राउत गदी,Asalam Raut Gadiu,पुरुष,38,117,2388,दुई वटा ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,387,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
40,182327,हसमुदिन मिया जोलहा,Hasmudin Miya Jolaha,पुरुष,45,2,102,दुई सूर्य ,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),363,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
41,182372,अलि हुसेन राउत गदि,Ali Husen Raut Gadi,पुरुष,50,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),315,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
42,170299,अच्छेलाल राउत कुर्मी,Achachhelal Raut Kurmi,पुरुष,64,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,306,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
43,204471,नजमोदिन राउत गदी,Najmodin Raut Gadi,पुरुष,39,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,174,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
44,203015,शेख सकिम,Shekh Sakim,पुरुष,52,118,112,दुई साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,139,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
45,203991,रामाश्रय राम चमार,Ramsheraya Ram Chamar,पुरुष,57,3,103,दुई गोलाकारभित्र हँसिया हथौडा ,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),92,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
46,201898,जालीम राउत गदी,JALIM RAUT GADI,पुरुष,48,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),91,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
47,186244,राजकिशोर साह तेली,Raj Kishor Shah Teli,पुरुष,39,101,2289,लाउड स्पिकर,Loud Speaker,जनमत पार्टी (जपा),,47,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
48,182053,लालबहादुर राउत गदी,Lalbahadur Raut Gadi,पुरुष,29,101,2406,दुई वटा लाउड स्पिकर,,जनमत पार्टी (जपा),,26,,,6,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
49,232136,जितनी देवी,Jitani Devi,महिला,65,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,747,निर्वाचित,Elected,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
50,171444,गिता देवी नुनियाइन,Gita Devi Nuniyain,महिला,33,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,325,,,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
51,182666,लीलावती देवी,Liliawati Devi,महिला,52,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),295,,,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
52,204564,रामरती मलाहीन,Ramrati Malahin,महिला,63,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,193,,,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
53,201670,तारा खातुन,tara khatun,महिला,38,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),116,,,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
54,171082,रम्भा खातुन,Rambha Khatun,महिला,42,101,2289,लाउड स्पिकर,Loud Speaker,जनमत पार्टी (जपा),,26,,,7,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
55,236418,गोगली देवी,Gogali Devi,महिला,49,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,683,निर्वाचित,Elected,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
56,182277,मंजु कुमारी देवी,Manju Kumari Devi,महिला,46,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),398,,,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
57,172222,रुखमिनी देवी,Rukhamini Devi,महिला,52,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,355,,,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
58,203005,सोना देवि,SONA DEVI,महिला,44,118,92,साइकल,,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल  ",,193,,,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
59,200165,छठीया देवी,Chhathiya Devi,महिला,53,3,3,गोलाकारभित्र हसिया हथौडा,,नेपाल कम्युनिष्ट पार्टी (माओवादी केन्द्र),Communist Party of Nepal (Maoist-Centre),114,,,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
60,175468,सनकेसी देवि,sankesi devi,महिला,63,101,2289,लाउड स्पिकर,Loud Speaker,जनमत पार्टी (जपा),,27,,,8,1.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
61,237171,नेपाली प्रसाद कुशवाहा,Nepali Prasad Kushwaha,पुरुष,42,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,939,निर्वाचित,Elected,5,2.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
62,183410,समसुल्हक मियाँ धुनिया,Samsulhak Miya Dhuniya,पुरुष,38,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),726,,,5,2.0,5365,जगरनाथपुर गाउँपालिका,34,34,पर्सा,2.0,मधेश प्रदेश
